vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
324,9841,27305,27428,7384,8,2000,0.786767103974892,0.2132328960251079,0.0,0.0
325,7725,47639,24068,35641,16,2000,0.8494749565978008,0.1505250434021992,0.04,0.000857449088960343
326,12575,40793,22947,41973,10,2000,0.850884211967214,0.149115788032786,0.01,0.00021436227224008576
327,18073,24804,5022,13968,10,2000,0.8801792768701617,0.1198207231298382,0.49,0.010503751339764202
328,13985,25309,23413,33109,13,2000,0.8544751161717778,0.1455248838282221,0.02,0.0004287245444801715
329,13243,39265,20144,28120,10,2000,0.7037657223564985,0.2962342776435015,0.0,0.0
330,11965,43829,12737,47668,12,2000,0.8837232798990196,0.1162767201009804,0.61,0.01307609860664523
331,18110,19329,17489,37626,11,2000,0.7049302165399978,0.2950697834600022,0.0,0.0
332,11393,35166,19015,18071,15,2000,0.7465622822478086,0.2534377177521913,0.0,0.0
333,17717,26659,18905,49673,16,2000,0.8579173007252804,0.1420826992747196,0.07,0.0015005359056806005
334,7472,34961,17909,44510,10,2000,0.8168359813833198,0.1831640186166802,0.0,0.0
335,13636,18618,6137,30599,16,2000,0.8953405977643576,0.1046594022356424,0.87,0.01864951768488746
336,8312,40013,6179,32769,8,2000,0.7243005755968387,0.2756994244031613,0.0,0.0
337,18912,24527,22368,13981,8,2000,0.850967950906574,0.149032049093426,0.02,0.0004287245444801715
338,18807,44169,27622,49349,13,2000,0.7565829349797484,0.2434170650202516,0.0,0.0
339,8945,42670,26293,46050,11,2000,0.7698333267437633,0.2301666732562367,0.0,0.0
340,12198,36148,21543,10661,10,2000,0.8742867394991456,0.1257132605008544,0.38,0.008145766345123259
341,9050,32782,21934,18952,12,2000,0.823239867196628,0.176760132803372,0.0,0.0
342,12657,11917,9857,45876,13,2000,0.8321290135282384,0.1678709864717615,0.0,0.0
343,19481,17155,5677,6787,10,2000,0.7112162463685769,0.288783753631423,0.0,0.0
344,16843,41649,19365,8080,9,2000,0.8769484547535524,0.1230515452464475,0.5,0.010718113612004287
