vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
21,10558,17119,10299,9835,11,0.7621923376898974,2000,0.23780766231010264,0.0,0.0
22,9098,18353,11748,6832,10,0.8111674138088251,2000,0.18883258619117493,0.0,0.0
23,11180,17304,9443,10258,10,0.7968164139080762,2000,0.20318358609192377,0.0,0.0
24,10777,22473,10327,11090,9,0.8088398193636667,2000,0.19116018063633333,0.0,0.0
25,7076,17979,11428,5157,11,0.803513105899114,2000,0.19648689410088604,0.0,0.0
26,9585,14562,7723,8890,9,0.8278462309938244,2000,0.17215376900617563,0.0,0.0
27,7746,23162,10400,9814,10,0.7876147241648306,2000,0.21238527583516942,0.0,0.0
28,11814,15201,12087,12409,9,0.8235290487718563,2000,0.1764709512281437,0.0,0.0
29,7482,27504,14452,10224,11,0.8212911750535158,2000,0.1787088249464842,0.0,0.0
30,7953,19597,12724,10204,11,0.8687180801710186,2000,0.1312819198289814,0.33,0.015179392824287027
31,10434,12632,8788,12403,11,0.7936010790248976,2000,0.20639892097510237,0.0,0.0
32,10376,26058,9464,13339,11,0.8099788110721942,2000,0.19002118892780584,0.0,0.0
33,11571,22474,9941,6986,9,0.8129502575433701,2000,0.18704974245662986,0.0,0.0
34,11437,16636,7488,8607,10,0.7716602470199266,2000,0.22833975298007336,0.0,0.0
35,10352,24492,8313,10646,10,0.792030740015514,2000,0.207969259984486,0.0,0.0
36,7740,16668,9188,10148,10,0.7381638842143792,2000,0.2618361157856208,0.0,0.0
37,9220,15915,10679,12650,10,0.8638774141592467,2000,0.13612258584075332,0.14,0.006439742410303588
38,12424,28891,11118,7950,9,0.8100619574774397,2000,0.1899380425225603,0.0,0.0
39,9400,24846,10830,13145,9,0.8629385836323281,2000,0.13706141636767188,0.13,0.005979760809567617
40,8934,17201,10853,9808,10,0.8042375076365136,2000,0.19576249236348642,0.0,0.0
41,10029,23379,10059,8179,8,0.8555055734708636,2000,0.14449442652913635,0.1,0.004599816007359705
42,9981,24738,13776,9224,11,0.7857817080381707,2000,0.2142182919618293,0.0,0.0
43,11381,11392,7684,5146,9,0.7964166871513588,2000,0.20358331284864117,0.0,0.0
44,9090,21735,7394,10428,10,0.853830515923112,2000,0.146169484076888,0.08,0.003679852805887764
45,9336,18285,13898,12946,11,0.8441468765176936,2000,0.1558531234823064,0.02,0.000919963201471941
46,9505,15933,8876,6183,10,0.749977974526287,2000,0.250022025473713,0.0,0.0
